id,titre,marque,categorie,prix,prix_barre,devise,retailer,remise_pct,segment
Pxf99uo,Silk Scarf,Vince,Scarves,147.0,245.0,USD,nordstrom.com,40.0,2. Mid
2ykLQsc,Silk Scarf,Max Mara,Scarves,123.0,367.0,USD,farfetch.com,66.5,1. Accessible
IHTSfiU,Monogram silk scarf,Toteme,Scarves,340.0,,USD,net-a-porter.com,,3. Luxe
uTD8eCH,Silk Scarf,Marc Jacobs,Scarves,58.8,98.0,USD,marcjacobs.com,40.0,1. Accessible
eSMrXc9,Graphic Print Silk Scarf,& Other Stories,Scarves,79.0,,USD,stories.com,,1. Accessible
cHkjibe,Silk Scarf,Burberry,Scarves,259.0,,USD,jomashop.com,,3. Luxe
HiiKuQ1,Printed Silk Scarf,& Other Stories,Scarves,129.0,,USD,stories.com,,1. Accessible
AzrLBw6,Printed Silk Scarf,Acne Studios,Scarves,450.0,,USD,acnestudios.com,,3. Luxe
SsclygG,Silk Scarf,Salvatore Ferragamo,Scarves,409.0,548.0,USD,shop.simon.com,25.4,3. Luxe
C88ITuC,Weekend Collection Floral Scarf,Ann Taylor,Scarves,44.62,59.5,USD,anntaylor.com,25.0,1. Accessible
auE7iSG,Floral Silk Scarf,Michael Kors,Scarves,64.0,115.0,USD,michaelkors.com,44.3,1. Accessible
nvE8QOx,Sunglasses,Salvatore Ferragamo,Sunglasses,450.0,,USD,ferragamo.com,,3. Luxe
tZsawjV,Sunglasses,Kate Spade,Sunglasses,85.0,169.0,USD,otticanet.com,49.7,1. Accessible
8qbbnQH,Avelin Sunglasses,Oliver Peoples,Sunglasses,485.0,,USD,marissacollections.com,,3. Luxe
83buyau,MARC 495/S Sunglasses,Marc Jacobs,Sunglasses,200.0,217.0,USD,otticanet.com,7.8,2. Mid
mxtnGgc,Sunglasses,Nordstrom,Sunglasses,275.0,,USD,nordstrom.com,,2. Mid
9FY2RvE,sunglasses,Saint Laurent,Sunglasses,291.0,520.0,USD,farfetch.com,44.0,3. Luxe
cgq1WwG,Sunglasses,Nordstrom,Sunglasses,275.0,,USD,nordstrom.com,,2. Mid
xMpGgmz,Sunglasses,Marc Jacobs,Sunglasses,206.0,,USD,marcjacobs.com,,2. Mid
dXHBGiS,Polarized Pillow Sunglasses,CELINE,Sunglasses,619.0,,USD,nordstrom.com,,3. Luxe
zVnVYys,CL40187I Sunglasses,CELINE,Sunglasses,440.0,,USD,alexanderdaas.com,,3. Luxe
IuCp4Em,Sunglasses,Polaroid,Sunglasses,74.0,,USD,otticanet.com,,1. Accessible
lBtkIE8,Square Sunglasses,Nordstrom,Sunglasses,198.0,,USD,nordstrom.com,,2. Mid
LfQ2Lu2,D-Frame Sunglasses,Le Specs,Sunglasses,49.0,,USD,nordstrom.com,,1. Accessible
yyY474V,RB4457D sunglasses,Ray-Ban,Sunglasses,128.0,,USD,farfetch.com,,1. Accessible
AsaKjmX,VE4445 Sunglasses,Versace,Sunglasses,181.5,,USD,framesdirect.com,,1. Accessible
tGRq5UR,RB4470CH,Ray-Ban,Sunglasses,203.05,262.0,USD,ezcontacts.com,22.5,2. Mid
Cx2tKU5,VE 4497U Geometric Sunglasses,Versace,Sunglasses,278.0,,USD,otticanet.com,,3. Luxe
hUosfo0,Square Sunglasses,Fossil,Sunglasses,79.0,,USD,samsclub.com,,1. Accessible
2XjFWLM,SC40074I Sunglasses,Stella McCartney,Sunglasses,275.0,,USD,otticanet.com,,2. Mid
B51X754,Wayfarer-style sunglasses,Fendi,Sunglasses,50.0,,USD,therealreal.com,,1. Accessible
